,Date,Heure,Mois,Jours,Prix
243,2024-07-11,3,July,Thursday,59.57
244,2024-07-11,4,July,Thursday,55.09
245,2024-07-11,5,July,Thursday,80.06
246,2024-07-11,6,July,Thursday,58.47
247,2024-07-11,7,July,Thursday,87.0
248,2024-07-11,8,July,Thursday,100.96
249,2024-07-11,9,July,Thursday,89.69
250,2024-07-11,10,July,Thursday,81.0
251,2024-07-11,11,July,Thursday,68.49
252,2024-07-11,12,July,Thursday,60.0
253,2024-07-11,13,July,Thursday,51.14
254,2024-07-11,14,July,Thursday,46.8
255,2024-07-11,15,July,Thursday,50.98
256,2024-07-11,16,July,Thursday,61.24
257,2024-07-11,17,July,Thursday,71.53
258,2024-07-11,18,July,Thursday,86.5
259,2024-07-11,19,July,Thursday,105.22
260,2024-07-11,20,July,Thursday,108.68
261,2024-07-11,21,July,Thursday,109.55
262,2024-07-11,22,July,Thursday,111.39
263,2024-07-11,23,July,Thursday,97.15
264,2024-07-12,0,July,Friday,85.0
265,2024-07-12,1,July,Friday,60.15
266,2024-07-12,2,July,Friday,61.46
267,2024-07-12,3,July,Friday,53.45
268,2024-07-12,4,July,Friday,27.71
269,2024-07-12,5,July,Friday,41.5
270,2024-07-12,6,July,Friday,38.08
271,2024-07-12,7,July,Friday,53.29
272,2024-07-12,8,July,Friday,73.72
273,2024-07-12,9,July,Friday,49.0
274,2024-07-12,10,July,Friday,47.35
275,2024-07-12,11,July,Friday,49.98
276,2024-07-12,12,July,Friday,53.13
277,2024-07-12,13,July,Friday,42.16
278,2024-07-12,14,July,Friday,41.59
279,2024-07-12,15,July,Friday,36.03
280,2024-07-12,16,July,Friday,24.45
281,2024-07-12,17,July,Friday,38.36
282,2024-07-12,18,July,Friday,46.38
283,2024-07-12,19,July,Friday,52.8
284,2024-07-12,20,July,Friday,75.58
285,2024-07-12,21,July,Friday,89.93
286,2024-07-12,22,July,Friday,87.0
287,2024-07-12,23,July,Friday,79.97
288,2024-07-13,0,July,Saturday,64.92
289,2024-07-13,1,July,Saturday,57.52
290,2024-07-13,2,July,Saturday,43.46
291,2024-07-13,3,July,Saturday,39.12
292,2024-07-13,4,July,Saturday,33.11
293,2024-07-13,5,July,Saturday,31.44
294,2024-07-13,6,July,Saturday,31.63
295,2024-07-13,7,July,Saturday,28.21
296,2024-07-13,8,July,Saturday,26.6
297,2024-07-13,9,July,Saturday,20.97
298,2024-07-13,10,July,Saturday,5.16
299,2024-07-13,11,July,Saturday,0.04
300,2024-07-13,12,July,Saturday,0.0
301,2024-07-13,13,July,Saturday,-4.97
302,2024-07-13,14,July,Saturday,-14.8
303,2024-07-13,15,July,Saturday,-11.24
304,2024-07-13,16,July,Saturday,-2.54
305,2024-07-13,17,July,Saturday,0.9
306,2024-07-13,18,July,Saturday,30.51
307,2024-07-13,19,July,Saturday,49.38
308,2024-07-13,20,July,Saturday,75.45
309,2024-07-13,21,July,Saturday,76.02
310,2024-07-13,22,July,Saturday,79.66
311,2024-07-13,23,July,Saturday,65.04
312,2024-07-14,0,July,Sunday,89.19
313,2024-07-14,1,July,Sunday,63.52
314,2024-07-14,2,July,Sunday,55.69
315,2024-07-14,3,July,Sunday,44.57
316,2024-07-14,4,July,Sunday,37.42
317,2024-07-14,5,July,Sunday,37.3
318,2024-07-14,6,July,Sunday,30.36
319,2024-07-14,7,July,Sunday,14.28
320,2024-07-14,8,July,Sunday,0.29
321,2024-07-14,9,July,Sunday,-3.29
322,2024-07-14,10,July,Sunday,-21.03
323,2024-07-14,11,July,Sunday,-40.51
324,2024-07-14,12,July,Sunday,-59.43
325,2024-07-14,13,July,Sunday,-73.83
326,2024-07-14,14,July,Sunday,-74.02
327,2024-07-14,15,July,Sunday,-51.43
328,2024-07-14,16,July,Sunday,-19.34
329,2024-07-14,17,July,Sunday,0.0
330,2024-07-14,18,July,Sunday,17.6
331,2024-07-14,19,July,Sunday,44.81
332,2024-07-14,20,July,Sunday,74.57
333,2024-07-14,21,July,Sunday,95.73
334,2024-07-14,22,July,Sunday,106.12
335,2024-07-14,23,July,Sunday,87.53
336,2024-07-15,0,July,Monday,80.02
337,2024-07-15,1,July,Monday,66.64
338,2024-07-15,2,July,Monday,58.98
339,2024-07-15,3,July,Monday,50.01
340,2024-07-15,4,July,Monday,48.28
341,2024-07-15,5,July,Monday,50.08
342,2024-07-15,6,July,Monday,53.8
343,2024-07-15,7,July,Monday,66.61
344,2024-07-15,8,July,Monday,82.15
345,2024-07-15,9,July,Monday,62.01
346,2024-07-15,10,July,Monday,39.49
347,2024-07-15,11,July,Monday,15.84
348,2024-07-15,12,July,Monday,6.06
349,2024-07-15,13,July,Monday,3.74
350,2024-07-15,14,July,Monday,3.9
351,2024-07-15,15,July,Monday,9.18
352,2024-07-15,16,July,Monday,26.52
353,2024-07-15,17,July,Monday,31.5
354,2024-07-15,18,July,Monday,44.85
355,2024-07-15,19,July,Monday,60.0
356,2024-07-15,20,July,Monday,80.0
357,2024-07-15,21,July,Monday,86.08
358,2024-07-15,22,July,Monday,93.93
359,2024-07-15,23,July,Monday,80.65
360,2024-07-16,0,July,Tuesday,45.49
361,2024-07-16,1,July,Tuesday,19.63
362,2024-07-16,2,July,Tuesday,31.53
363,2024-07-16,3,July,Tuesday,31.25
364,2024-07-16,4,July,Tuesday,24.57
365,2024-07-16,5,July,Tuesday,26.5
366,2024-07-16,6,July,Tuesday,32.9
367,2024-07-16,7,July,Tuesday,26.72
368,2024-07-16,8,July,Tuesday,41.62
369,2024-07-16,9,July,Tuesday,38.96
370,2024-07-16,10,July,Tuesday,21.18
371,2024-07-16,11,July,Tuesday,3.96
372,2024-07-16,12,July,Tuesday,0.7
373,2024-07-16,13,July,Tuesday,0.0
374,2024-07-16,14,July,Tuesday,0.0
375,2024-07-16,15,July,Tuesday,0.0
376,2024-07-16,16,July,Tuesday,1.43
377,2024-07-16,17,July,Tuesday,35.04
378,2024-07-16,18,July,Tuesday,67.77
379,2024-07-16,19,July,Tuesday,94.5
380,2024-07-16,20,July,Tuesday,109.11
381,2024-07-16,21,July,Tuesday,117.23
382,2024-07-16,22,July,Tuesday,108.44
383,2024-07-16,23,July,Tuesday,89.34
384,2024-07-17,0,July,Wednesday,88.47
385,2024-07-17,1,July,Wednesday,73.58
386,2024-07-17,2,July,Wednesday,73.14
387,2024-07-17,3,July,Wednesday,70.76
388,2024-07-17,4,July,Wednesday,71.23
389,2024-07-17,5,July,Wednesday,77.84
390,2024-07-17,6,July,Wednesday,91.02
391,2024-07-17,7,July,Wednesday,100.9
392,2024-07-17,8,July,Wednesday,105.7
393,2024-07-17,9,July,Wednesday,79.04
394,2024-07-17,10,July,Wednesday,60.26
395,2024-07-17,11,July,Wednesday,44.8
396,2024-07-17,12,July,Wednesday,36.48
397,2024-07-17,13,July,Wednesday,26.62
398,2024-07-17,14,July,Wednesday,17.04
399,2024-07-17,15,July,Wednesday,19.58
400,2024-07-17,16,July,Wednesday,44.73
401,2024-07-17,17,July,Wednesday,65.94
402,2024-07-17,18,July,Wednesday,87.69
403,2024-07-17,19,July,Wednesday,104.63
404,2024-07-17,20,July,Wednesday,115.75
405,2024-07-17,21,July,Wednesday,125.26
406,2024-07-17,22,July,Wednesday,113.51
407,2024-07-17,23,July,Wednesday,88.48
408,2024-07-18,0,July,Thursday,91.06
409,2024-07-18,1,July,Thursday,80.65
410,2024-07-18,2,July,Thursday,67.9
411,2024-07-18,3,July,Thursday,74.06
412,2024-07-18,4,July,Thursday,66.4
413,2024-07-18,5,July,Thursday,69.35
414,2024-07-18,6,July,Thursday,79.46
415,2024-07-18,7,July,Thursday,98.83
416,2024-07-18,8,July,Thursday,97.41
417,2024-07-18,9,July,Thursday,80.78
418,2024-07-18,10,July,Thursday,66.18
419,2024-07-18,11,July,Thursday,50.25
420,2024-07-18,12,July,Thursday,38.66
421,2024-07-18,13,July,Thursday,37.79
422,2024-07-18,14,July,Thursday,40.97
423,2024-07-18,15,July,Thursday,52.36
424,2024-07-18,16,July,Thursday,70.97
425,2024-07-18,17,July,Thursday,88.98
426,2024-07-18,18,July,Thursday,102.85
427,2024-07-18,19,July,Thursday,121.22
428,2024-07-18,20,July,Thursday,130.05
429,2024-07-18,21,July,Thursday,138.23
430,2024-07-18,22,July,Thursday,121.89
431,2024-07-18,23,July,Thursday,102.25
432,2024-07-19,0,July,Friday,91.24
433,2024-07-19,1,July,Friday,80.86
434,2024-07-19,2,July,Friday,80.31
